seed,method,scenario,S,eps_wass,sigma,shift_rho,shift_boost,ground_cost,collision,collision_step,min_clearance,min_clearance_step,total_progress,control_effort,constraint_active_count,missed_mode_steps,total_steps,avg_solve_ms,p50_solve_ms,p95_solve_ms,max_solve_ms,total_dro_injected,avg_safe_horizon,clearance_5pct
2441107055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.0031,16,7.8183,194.0981,200,14,80,7.7013,5.7002,21.2739,22.1660,0,7.0000,1.0598
2441108055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1103,26,7.6822,187.4576,235,21,80,7.0715,5.2827,18.0093,23.2753,0,7.0000,1.1247
2441109055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1803,13,20.1192,749.3588,630,20,80,5.1426,4.6402,15.9044,18.8633,0,7.0000,1.2714
2441110055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.3609,12,18.0012,423.4104,396,22,80,9.8380,6.8354,28.1781,46.2822,0,7.0000,1.4095
2441111055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1153,16,2.9381,123.6309,135,36,80,14.9029,11.7700,53.4535,62.5417,0,7.0000,1.1401
2441112055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.2652,13,15.2732,306.6493,377,21,80,12.5061,11.1044,31.7783,55.7249,0,7.0000,1.3205
2441113055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.3144,15,19.3427,549.8827,450,24,80,5.9366,4.3777,14.7289,20.9115,0,7.0000,1.3452
2441114055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.0629,24,10.2626,267.1508,315,22,80,4.9163,4.0466,11.5708,14.2741,0,7.0000,1.0761
2441115055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.9551,30,3.1012,83.0401,165,14,80,6.7624,4.6063,14.2205,20.1281,0,7.0000,0.9851
2441116055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.3510,16,20.1147,793.7241,571,24,80,3.3850,2.4790,9.9121,14.5847,0,7.0000,1.4620
