scenario_id,obstacle_id,k,dx,dy
2,0,7,-0.8586804797354883,0.06625445617484715
2,0,8,-1.0730947515759155,0.0345605854617278
2,0,9,-1.3239068498699478,-0.05386247445052439
2,0,10,-1.3714676306490503,-0.07614134203145861
2,0,11,-1.4590771940250367,-0.09322714296639478
2,0,12,-1.6290460026943858,-0.1566129234278678
2,0,13,-1.7172453047091967,-0.1538289478277518
2,0,14,-1.7855336576218672,-0.16553625733298694
2,0,15,-1.8722727259482355,-0.06923967910387241
2,0,16,-2.095619082861697,-0.024723851315284984
2,0,17,-2.295933737286097,-0.058963833987715764
2,0,18,-2.439664254550804,0.005124348263968903
2,0,19,-2.5231316304591633,0.01216172907561508
2,0,20,-2.6241109225537365,0.06426882397017208
3,0,0,0.0,0.0
3,0,1,0.03346632047799947,-0.01099217092788174
3,0,2,-0.11434267280543153,-0.018848558817138095
3,0,3,-0.18526938974543228,0.10906852010798573
3,0,4,-0.25855699744946925,0.24341271776380213
3,0,5,-0.40249790476137104,0.3598156226422978
3,0,6,-0.5838797943829097,0.4683202958889705
3,0,7,-0.6513544897072583,0.46761011841594746
3,0,8,-0.7452427549470797,0.4467291241468656
3,0,9,-0.9542006572514072,0.41449240130696796
3,0,10,-1.146189376345788,0.4024523064929718
3,0,11,-1.2859397705511193,0.5419389209837405
3,0,12,-1.4336531705810929,0.5509300402688142
3,0,13,-1.530448935303078,0.6002202881739946
3,0,14,-1.6524053086939245,0.6894165622627306
3,0,15,-1.7514889561445663,0.7342006114414323
3,0,16,-1.8659963561566877,0.8820038507279535
3,0,17,-1.94133160006544,1.0018419564044139
3,0,18,-1.8054587359199834,1.0988959534148521
3,0,19,-1.678511733010338,1.1170743919253536
3,0,20,-1.5375794401865517,1.028421381535571
4,0,0,0.0,0.0
4,0,1,-0.18786498806300322,0.03998520414217291
4,0,2,-0.28849088143227775,0.11253298848441101
4,0,3,-0.44694836667957993,0.1618080259838986
4,0,4,-0.585281205521456,0.16129849093933846
4,0,5,-0.834271003672832,0.1573574347229088
4,0,6,-1.1360363659851789,0.1078926822781271
4,0,7,-1.241375933396105,0.11235070801683647
4,0,8,-1.4169149420653788,0.06404603050232335
4,0,9,-1.6330413988185288,0.02592346364306558
4,0,10,-1.876020178815038,-0.09089097029500107
4,0,11,-1.9979912576053547,-0.009155531574427625
4,0,12,-2.2034053355489913,0.02638336992323556
4,0,13,-2.438563269327995,0.04010422456531515
4,0,14,-2.681405867545653,0.0812651061461089
4,0,15,-2.852319887392932,0.011837623784504842
4,0,16,-2.99852407445983,0.09036564543924802
4,0,17,-3.1718273842361455,0.0818423843700796
4,0,18,-3.344884339947047,0.08155463516773123
4,0,19,-3.455974870618732,0.13921680166608083
4,0,20,-3.73497243472933,0.19068242562496818
5,0,0,0.0,0.0
5,0,1,-0.07409742312948531,-0.05732211687078481
5,0,2,-0.2633591041568022,-0.07689875285646353
5,0,3,-0.33667820242126023,-0.07431570715640512
5,0,4,-0.4182889141515229,-0.10001301733407764
5,0,5,-0.5024839979716149,-0.18036966975835889
5,0,6,-0.6299520378164662,-0.29710807283111473
5,0,7,-0.7534957801020123,-0.34980604051256736
5,0,8,-0.871033747848017,-0.3368178634349851
5,0,9,-0.985290453539061,-0.5292529373002757
5,0,10,-1.0371501606236522,-0.5599453273121452
5,0,11,-1.1174051671536627,-0.6420016936620079
5,0,12,-1.1952026466008774,-0.6074026803504389
5,0,13,-1.3830330808265545,-0.6136951619633504
5,0,14,-1.4626354339683905,-0.7743711689040305
5,0,15,-1.352943051133011,-0.7298507768260529
5,0,16,-1.339193303899982,-0.8308451993042637
5,0,17,-1.2132157333573432,-0.8105915477910626
5,0,18,-1.0957300895521453,-0.8075349737449332
5,0,19,-1.024373199719006,-0.786786383251429
5,0,20,-0.8486302824251504,-0.862567104288332
6,0,0,0.0,0.0
6,0,1,-0.21517158579012952,-0.06264087555182085
6,0,2,-0.3929604314663253,-0.03971485351475046
6,0,3,-0.548062858171416,-0.11882440387596294
6,0,4,-0.743133536026471,-0.17490476823718826
6,0,5,-0.8296595707933798,-0.3164568285492352
6,0,6,-0.9723978387808085,-0.34931848578598923
6,0,7,-1.0146615472576697,-0.3870853640939017
6,0,8,-1.0824331730112011,-0.46856083206390614
6,0,9,-1.2783975360182995,-0.6384692548569585
6,0,10,-1.2577777139390036,-0.7802761292722228
6,0,11,-1.1262266235821827,-0.7441897886836824
6,0,12,-0.8791688763570644,-0.8397948125791831
6,0,13,-0.8468967461243913,-0.5864706701978638
6,0,14,-0.6988954960923204,-0.7073576714085303
6,0,15,-0.5977195309622783,-0.6734483088004685
6,0,16,-0.406677997121756,-0.6593654267890627
6,0,17,-0.3194985313934149,-0.6942586115740798
6,0,18,-0.17316787717971494,-0.6847432461257811
6,0,19,-0.09775820103293498,-0.6728538321368998
6,0,20,0.1364716341463903,-0.7617277279549381
7,0,0,0.0,0.0
7,0,1,-0.13681802136641608,-0.004718236173424595
7,0,2,-0.29789913596843753,-0.004983081545620216
7,0,3,-0.48466097853223644,-0.013845636539531192
7,0,4,-0.6612793767080625,-0.09897653336030199
7,0,5,-0.7195494758768319,-0.2038194758398416
7,0,6,-0.7633481913365205,-0.32407014578280424
7,0,7,-0.8501493357328016,-0.32326939983219916
7,0,8,-1.0661491512329047,-0.35784832493442287
7,0,9,-1.2518965957005737,-0.41483252942819904
7,0,10,-1.3414043274545637,-0.48268155585566963
7,0,11,-1.5730417772239402,-0.43376060258935534
7,0,12,-1.6874093621542343,-0.44216539441374103
7,0,13,-1.8358689507639276,-0.4155079385741388
7,0,14,-1.9510705987807473,-0.4305700889703724
7,0,15,-2.1150398427360084,-0.38522749478592033
7,0,16,-2.175214015006391,-0.3716656848588884
7,0,17,-2.1571967063895183,-0.3708577804796511
7,0,18,-2.281543606618566,-0.30460929474858023
7,0,19,-2.4001976748866785,-0.3035907182183729
7,0,20,-2.5518561731473586,-0.29194818475396056
8,0,0,0.0,0.0
8,0,1,-0.10266885469921405,-0.008350710959363683
8,0,2,-0.3054432418559294,0.019615701173201994
8,0,3,-0.5267211268867289,0.07381516064362603
8,0,4,-0.613291423430093,0.009375168808662293
8,0,5,-0.7109807990363421,0.02893234581207038
8,0,6,-0.8113777151738297,0.04813039071573544
8,0,7,-1.0122538116732382,-0.02384210276713994
8,0,8,-1.2266045449676959,-0.039074784077183566
8,0,9,-1.3309100189920642,0.004011305952054123
8,0,10,-1.473402165202037,0.08898737616947472
8,0,11,-1.7247407542994715,0.03891522940621106
8,0,12,-1.9406261769266315,0.05301999298805704
8,0,13,-2.1829234866638583,0.034198823362797115
8,0,14,-2.271256142979304,0.09649624752205566
8,0,15,-2.3503927375777636,0.07867784230061459
8,0,16,-2.5602672039869407,0.10388000610968251
8,0,17,-2.7646678299893424,0.11093184478965656
8,0,18,-2.928997296075705,0.1500180261760492
8,0,19,-3.0134518217170676,0.23211167907334518
8,0,20,-3.1233962385829326,0.23210701954768875
9,0,0,0.0,0.0
9,0,1,-0.3131535792881808,-0.023200350186414975
9,0,2,-0.5235276600422125,0.018807564360831752
9,0,3,-0.7571330583016405,0.05438541112873124
9,0,4,-1.0214699091854618,0.14390245837515458
9,0,5,-1.2494327798062663,0.12911701978373738
9,0,6,-1.4512412248339475,0.12357816257397969
9,0,7,-1.6696173594605046,0.20158929834503783
9,0,8,-1.9457779562490547,0.18618903079835836
9,0,9,-2.1898694110655335,0.18814447595278191
9,0,10,-2.328554273325123,0.23360792725685936
9,0,11,-2.4966832776359222,0.10018070498195988
9,0,12,-2.7053346466202077,0.12159033240188767
9,0,13,-2.9116147122980385,0.12869035484886804
9,0,14,-3.1786618121898647,0.1705779078054202
9,0,15,-3.42201699733043,0.1706699312809219
9,0,16,-3.685707001251981,0.1597145449703724
9,0,17,-3.892497684182435,0.2016128342559952
9,0,18,-4.126333741752456,0.18225454404627753
9,0,19,-4.343428900841954,0.12098645925994653
9,0,20,-4.129968796681888,0.15378857017064726
10,0,0,0.0,0.0
10,0,1,-0.10100246276569136,0.08171447401053436
10,0,2,-0.15439272051546826,0.09533836425604288
10,0,3,-0.21951357999222232,0.17235139334589952
