seed,variant,step,ego_x,ego_y,ego_theta,obs_x,obs_y,obs_mode,collision,missed_mode,clearance
200042,Base,116,19.9365,0.0357,-5.2370,-7.6623,-7.8486,turn_right,0,0,28.7029
200042,Base,117,19.9396,0.0407,-5.3170,-7.8375,-7.9333,turn_right,0,0,28.8990
200042,Base,118,19.9432,0.0454,-5.3970,-8.0150,-8.0127,turn_right,0,0,29.0963
200042,Base,119,19.9471,0.0498,-5.4770,-8.1949,-8.0867,turn_left,0,0,29.2946
200042,Base,120,19.9513,0.0538,-5.5570,-8.3726,-8.1660,turn_left,0,0,29.4925
200042,Base,121,19.9558,0.0575,-5.6370,-8.5479,-8.2506,turn_left,0,0,29.6898
200042,Base,122,19.9606,0.0609,-5.7170,-8.7205,-8.3403,turn_left,0,0,29.8862
200042,Base,123,19.9657,0.0638,-5.7970,-8.8903,-8.4352,decelerating,0,1,30.0815
200042,Base,124,19.9709,0.0663,-5.8770,-9.0599,-8.5300,decelerating,0,1,30.2768
200042,Base,125,19.9764,0.0684,-5.9570,-9.2335,-8.6294,decelerating,0,1,30.4773
200042,Base,126,19.9819,0.0700,-6.0370,-9.4061,-8.7304,decelerating,0,0,30.6774
200042,Base,127,19.9876,0.0712,-6.1170,-9.5779,-8.8329,decelerating,0,0,30.8772
200042,Base,128,19.9934,0.0720,-6.1970,-9.7487,-8.9369,decelerating,0,0,31.0766
200042,Base,129,19.9992,0.0722,-6.2770,-9.9187,-9.0423,decelerating,0,1,31.2755
200042,Base,130,20.0050,0.0720,-6.3570,-10.0879,-9.1491,decelerating,0,1,31.4739
200042,Base,131,20.0108,0.0714,-6.4370,-10.2561,-9.2571,constant_velocity,0,1,31.6718
200042,Base,132,20.0164,0.0703,-6.5170,-10.4236,-9.3664,turn_left,0,0,31.8692
200042,Base,133,20.0220,0.0687,-6.5970,-10.5877,-9.4806,turn_left,0,0,32.0647
200042,Base,134,20.0274,0.0667,-6.6770,-10.7483,-9.5997,constant_velocity,0,0,32.2581
200042,Base,135,20.0327,0.0643,-6.7570,-10.9090,-9.7187,constant_velocity,0,0,32.4514
200042,Base,136,20.0377,0.0614,-6.8370,-11.0697,-9.8376,constant_velocity,0,0,32.6445
200042,Base,137,20.0425,0.0582,-6.9170,-11.2304,-9.9565,constant_velocity,0,0,32.8373
200042,Base,138,20.0470,0.0546,-6.9970,-11.3911,-10.0753,constant_velocity,0,0,33.0298
200042,Base,139,20.0512,0.0506,-7.0770,-11.5517,-10.1941,constant_velocity,0,0,33.2220
200042,Base,140,20.0551,0.0463,-7.1570,-11.7123,-10.3130,constant_velocity,0,0,33.4138
200042,Base,141,20.0586,0.0418,-7.2370,-11.8728,-10.4318,constant_velocity,0,0,33.6053
200042,Base,142,20.0618,0.0369,-7.3170,-12.0333,-10.5507,constant_velocity,0,1,33.7963
200042,Base,143,20.0645,0.0319,-7.3970,-12.1937,-10.6696,constant_velocity,0,1,33.9870
200042,Base,144,20.0669,0.0266,-7.4770,-12.3540,-10.7887,constant_velocity,0,0,34.1773
200042,Base,145,20.0688,0.0212,-7.5570,-12.5144,-10.9078,turn_left,0,0,34.3673
200042,Base,146,20.0702,0.0156,-7.6370,-12.6711,-11.0319,decelerating,0,0,34.5549
200042,Base,147,20.0713,0.0099,-7.7170,-12.8277,-11.1561,decelerating,0,1,34.7423
200042,Base,148,20.0718,0.0042,-7.7970,-12.9840,-11.2809,decelerating,0,1,34.9291
200042,Base,149,20.0719,-0.0016,-7.8770,-13.1397,-11.4064,decelerating,0,1,35.1152
200042,OT,0,0.0000,0.0000,0.0000,3.4292,0.4012,constant_velocity,0,0,3.4526
200042,OT,1,0.0000,0.0000,0.0000,3.4207,0.4007,constant_velocity,0,0,3.4441
200042,OT,2,0.1648,-0.0068,-0.0800,3.4122,0.4002,constant_velocity,0,0,3.2728
200042,OT,3,0.1648,-0.0068,-0.0800,3.4038,0.3997,constant_velocity,0,0,3.2644
200042,OT,4,0.1648,-0.0068,-0.0800,3.3954,0.3992,constant_velocity,0,0,3.2560
200042,OT,5,0.1648,-0.0068,-0.0800,3.3871,0.3986,constant_velocity,0,0,3.2477
200042,OT,6,0.1648,-0.0068,-0.0800,3.3788,0.3979,turn_right,0,1,3.2394
200042,OT,7,0.1648,-0.0068,-0.0800,3.3706,0.3975,turn_right,0,0,3.2312
200042,OT,8,0.1648,-0.0068,-0.0800,3.3623,0.3972,turn_right,0,0,3.2229
200042,OT,9,0.1648,-0.0068,-0.0800,3.3540,0.3973,turn_right,0,0,3.2147
200042,OT,10,0.1648,-0.0068,-0.0800,3.3456,0.3975,turn_right,0,0,3.2064
200042,OT,11,0.1648,-0.0068,-0.0800,3.3373,0.3980,turn_right,0,0,3.1982
200042,OT,12,0.1648,-0.0068,-0.0800,3.3290,0.3988,turn_right,0,0,3.1901
200042,OT,13,0.1648,-0.0068,-0.0800,3.3209,0.3999,turn_right,0,0,3.1822
200042,OT,14,0.1648,-0.0068,-0.0800,3.3127,0.4013,constant_velocity,0,0,3.1742
200042,OT,15,0.1648,-0.0068,-0.0800,3.3044,0.4026,constant_velocity,0,1,3.1662
200042,OT,16,0.1648,-0.0068,-0.0800,3.2961,0.4040,decelerating,0,0,3.1581
200042,OT,17,0.3596,-0.0144,0.0000,3.2878,0.4054,decelerating,0,0,2.9581
200042,OT,18,0.5843,-0.0236,-0.0800,3.2744,0.4018,decelerating,0,0,2.7235
200042,OT,19,0.8374,-0.0543,-0.1600,3.2559,0.3933,decelerating,0,0,2.4595
200042,OT,20,1.1166,-0.1111,-0.2400,3.2324,0.3797,decelerating,0,0,2.1719
200042,OT,21,1.4192,-0.1983,-0.3200,3.2039,0.3612,constant_velocity,0,0,1.8704
200042,OT,22,1.7419,-0.3200,-0.4000,3.1706,0.3377,decelerating,0,0,1.5728
200042,OT,23,1.7419,-0.3200,-0.4000,3.1373,0.3140,decelerating,0,0,1.5327
200042,OT,24,2.0904,-0.4583,-0.3564,3.0991,0.2854,turn_right,0,0,1.2532
200042,OT,25,2.4638,-0.6148,-0.4364,3.0548,0.2531,turn_right,0,0,1.0500
200042,OT,26,2.8650,-0.7826,-0.3567,3.0095,0.2222,turn_right,0,0,1.0151
