seed,W2-Euclidean,L1-Manhattan,Flat-NoGeom,Mean-Only,Directional
110330,0,0,0,0,0
110331,0,0,0,0,0
110332,0,0,0,0,1
110333,0,0,0,0,0
110334,0,0,0,0,0
110335,0,0,0,0,0
110336,0,0,0,0,0
110337,0,0,0,0,0
110338,0,0,0,1,1
110339,0,0,0,0,0
110340,0,0,0,0,0
110341,0,1,0,0,0
110342,0,0,1,0,0
110343,0,0,0,0,0
110344,0,0,0,0,1
110345,0,0,0,0,0
110346,0,0,0,0,0
110347,0,0,0,0,0
110348,0,0,0,0,0
110349,1,1,0,1,0
110350,0,0,0,0,0
110351,0,0,1,0,0
110352,1,0,1,0,1
110353,0,0,0,0,0
110354,0,0,0,0,0
110355,0,0,0,1,0
110356,0,0,0,0,0
110357,0,0,0,0,0
110358,0,0,0,0,0
110359,0,0,0,0,0
110360,0,0,0,1,0
110361,0,0,0,0,0
110362,0,0,0,0,0
110363,0,0,0,0,0
110364,0,0,0,0,0
110365,0,0,0,0,0
110366,0,0,0,0,0
110367,0,0,0,0,0
110368,0,0,0,0,0
110369,0,0,0,0,0
110370,0,0,0,0,0
110371,0,0,0,0,0
110372,0,0,1,1,0
110373,0,1,0,0,0
110374,0,0,1,0,0
110375,0,0,0,0,0
110376,0,0,0,1,0
110377,0,0,0,0,0
110378,0,0,0,0,0
110379,0,0,0,0,0
110380,0,0,0,0,0
110381,0,0,1,0,0
110382,0,0,0,0,0
110383,0,0,0,0,0
110384,0,0,0,0,0
110385,0,0,0,0,0
110386,0,0,0,0,0
110387,0,0,0,0,0
110388,0,0,0,0,0
110389,0,0,0,0,0
110390,0,0,0,0,0
110391,0,0,0,0,0
110392,0,0,0,0,0
110393,0,0,0,0,0
110394,0,0,0,0,0
110395,0,0,0,0,0
110396,0,0,0,0,0
110397,0,0,0,0,0
110398,0,0,0,0,0
110399,0,0,0,0,0
110400,1,0,1,0,0
110401,0,0,0,0,0
110402,0,0,0,0,0
110403,0,0,0,0,0
110404,0,0,0,0,0
110405,0,0,0,0,0
110406,0,0,0,0,0
110407,0,0,0,0,0
110408,0,0,0,0,0
110409,0,0,0,0,0
110410,0,0,0,0,0
110411,0,1,0,0,0
110412,0,0,0,0,0
110413,0,0,0,0,0
110414,0,0,0,0,0
110415,0,0,0,0,0
110416,0,0,0,0,0
110417,0,0,0,0,0
110418,0,0,0,0,0
110419,0,1,0,0,0
110420,0,0,0,0,0
110421,0,0,0,0,0
110422,0,0,1,0,0
110423,0,0,0,0,0
