environment,variant,seed,collision,missed_mode_rate,progress,min_clearance,mean_solve_ms,p99_solve_ms
Straight,OT,160044,0,0.1533,20.0714,1.0322,1.4000,4.6891
Straight,OT,160045,0,0.2000,20.0658,1.0746,1.3993,6.3622
Straight,OT,160046,0,0.2533,20.0631,1.1059,1.2571,4.8123
Straight,OT,160047,0,0.2467,19.9786,0.9815,1.6205,9.1037
Straight,OT,160048,0,0.1867,19.9294,1.0720,2.0325,9.2175
Straight,OT,160049,0,0.1533,0.1650,2.0870,2.0026,6.8756
Straight,OT,160050,0,0.1800,0.1647,1.5699,1.5274,6.9613
Straight,OT,160051,0,0.1933,20.0667,1.0167,1.6695,8.0280
Straight,OT,160052,0,0.1867,0.1649,1.6481,2.1489,9.4496
Straight,OT,160053,1,0.1600,19.9470,0.7460,2.3479,9.1026
Straight,OT,160054,0,0.1467,0.1649,0.9302,1.2197,5.7322
Straight,OT,160055,1,0.2133,19.9270,0.4676,1.8147,8.4050
Straight,OT,160056,0,0.2067,20.0215,1.0350,2.0212,9.4313
Straight,OT,160057,1,0.2267,19.9475,0.6866,2.6961,10.3450
Straight,OT,160058,0,0.1333,20.0630,1.0803,1.4063,6.3331
Straight,OT,160059,0,0.2867,17.5962,2.4699,3.8093,10.2312
Straight,OT,160060,0,0.1933,0.1650,1.8533,1.7665,9.4881
Straight,OT,160061,0,0.2000,0.1650,1.1767,1.5170,8.6544
Straight,OT,160062,0,0.1867,20.0856,2.0434,2.6768,9.3069
Straight,OT,160063,0,0.1600,20.0696,1.0657,1.2041,4.8935
Straight,OT,160064,0,0.2133,0.1650,1.6375,1.1140,3.6658
Straight,OT,160065,0,0.2333,0.1650,1.8006,1.8434,8.5578
Straight,OT,160066,0,0.1467,13.9726,1.7559,1.9474,9.4460
Straight,OT,160067,0,0.1733,0.1650,1.9167,1.5281,9.1166
Straight,OT,160068,0,0.1933,0.1650,2.3093,1.7453,10.3435
Straight,OT,160069,0,0.1067,20.0660,1.0827,1.2697,5.5527
Straight,OT,160070,0,0.1667,20.0695,1.0395,1.5051,5.0092
Straight,OT,160071,0,0.2800,7.5568,1.3639,1.8418,8.7904
Straight,OT,160072,0,0.1733,20.0642,2.4168,1.6590,8.9352
Straight,OT,160073,0,0.1400,0.1649,1.4968,1.5274,4.4724
Straight,OT,160074,0,0.1933,20.0394,1.0329,2.4207,9.4945
Straight,OT,160075,0,0.1600,0.1650,1.4045,1.8944,9.2017
Straight,OT,160076,0,0.1533,20.0679,1.0888,1.2385,4.9563
Straight,OT,160077,0,0.3333,20.0693,1.0810,1.3962,5.9778
Straight,OT,160078,0,0.2200,0.1649,1.7604,1.3437,7.7178
Straight,OT,160079,0,0.1667,19.9481,1.7112,2.0588,9.3066
Straight,OT,160080,0,0.2467,0.1650,2.6144,1.6449,4.3548
Straight,OT,160081,0,0.2933,0.1584,2.0885,1.8909,6.4467
Straight,OT,160082,0,0.1600,20.0703,1.2049,1.5268,7.1723
Straight,OT,160083,0,0.1333,20.0710,1.0714,1.4358,4.9140
Straight,OT,160084,0,0.1000,20.0884,1.6114,2.8345,11.6067
Straight,OT,160085,0,0.1067,20.0646,1.1042,1.5909,7.7705
Straight,OT,160086,0,0.1200,0.1650,1.8064,1.4369,7.1831
Straight,OT,160087,0,0.1200,0.1650,2.6558,1.2056,3.4798
Straight,OT,160088,0,0.2267,20.0586,1.0417,1.6094,8.0976
Straight,OT,160089,0,0.1533,20.0610,1.0654,1.4593,5.6982
Straight,OT,160090,0,0.2267,0.1650,2.2490,1.8172,4.4043
Straight,OT,160091,0,0.3067,0.1650,2.0459,1.9240,8.9435
Straight,OT,160092,0,0.2200,20.0425,1.0629,1.9855,9.1974
Straight,OT,160093,0,0.1267,0.1650,2.2387,1.3236,4.5999
Straight,OT,160094,0,0.2200,0.1650,2.2186,2.6649,12.9319
Straight,OT,160095,0,0.1200,20.0421,1.1403,1.8119,8.7395
Straight,OT,160096,0,0.1333,0.1649,1.5467,1.0672,3.7443
Straight,OT,160097,1,0.2600,19.9306,0.8427,1.9438,8.9965
Straight,OT,160098,0,0.1800,20.0640,1.6427,2.4886,9.0763
Straight,OT,160099,0,0.2133,20.0598,1.1074,1.4716,8.7859
Straight,OT+SH,160000,0,0.2133,20.0692,1.0503,1.0745,4.1897
Straight,OT+SH,160001,0,0.2133,20.0715,1.0021,1.1077,5.5709
Straight,OT+SH,160002,0,0.2333,20.0684,0.9590,1.2014,4.1812
Straight,OT+SH,160003,0,0.2267,20.0714,1.1399,1.2107,4.3124
Straight,OT+SH,160004,0,0.1667,20.0717,1.0520,1.2017,3.6772
Straight,OT+SH,160005,0,0.2000,20.0718,1.0857,1.1143,5.0576
Straight,OT+SH,160006,0,0.1867,20.0719,1.0946,1.0595,4.4856
Straight,OT+SH,160007,0,0.1200,20.0719,1.1024,1.1026,4.8493
Straight,OT+SH,160008,0,0.1667,20.0650,1.0813,1.1552,4.8928
Straight,OT+SH,160009,0,0.2400,20.0718,1.0918,1.0885,4.7230
Straight,OT+SH,160010,0,0.2933,20.0673,1.0752,1.0800,3.4674
Straight,OT+SH,160011,0,0.1800,20.0702,1.0897,1.2044,5.0350
Straight,OT+SH,160012,0,0.1533,20.0642,1.0466,1.2529,4.4671
Straight,OT+SH,160013,0,0.2800,20.0717,1.0563,1.1141,3.8670
Straight,OT+SH,160014,0,0.1800,20.0702,1.1042,1.1399,3.9720
Straight,OT+SH,160015,0,0.2133,20.0719,1.1215,1.3792,5.6579
Straight,OT+SH,160016,0,0.0800,20.0701,1.0431,1.0323,4.0557
Straight,OT+SH,160017,0,0.1867,20.0717,1.0642,1.1938,4.3944
Straight,OT+SH,160018,0,0.1600,20.0697,1.0671,0.9733,3.5519
Straight,OT+SH,160019,0,0.1533,19.9963,1.1646,1.2578,5.2489
Straight,OT+SH,160020,0,0.0933,20.0693,1.0949,1.0876,4.6973
Straight,OT+SH,160021,0,0.1933,20.0719,1.1500,1.1658,5.7947
Straight,OT+SH,160022,0,0.2133,20.0706,1.0295,1.2869,6.8686
Straight,OT+SH,160023,0,0.2133,20.0128,0.9625,1.7759,7.0926
Straight,OT+SH,160024,0,0.2200,20.0716,1.0312,1.1583,6.2758
Straight,OT+SH,160025,0,0.2267,20.0719,1.0888,1.0691,3.7473
Straight,OT+SH,160026,0,0.1200,20.0719,1.0265,1.3499,6.4743
Straight,OT+SH,160027,0,0.2000,20.0708,1.0591,1.1702,4.1190
Straight,OT+SH,160028,0,0.1667,20.0719,1.0654,1.1324,4.6342
Straight,OT+SH,160029,0,0.1333,20.0675,1.0476,1.0665,3.8788
Straight,OT+SH,160030,0,0.1267,20.0690,1.0738,1.0111,4.3397
Straight,OT+SH,160031,0,0.2600,20.0719,1.0906,1.1097,3.8936
Straight,OT+SH,160032,1,0.1467,19.9535,0.2770,1.6916,7.2546
Straight,OT+SH,160033,0,0.1933,20.0712,0.9969,1.1374,4.3064
Straight,OT+SH,160034,0,0.1200,20.0693,1.0886,1.0448,3.7957
Straight,OT+SH,160035,0,0.2000,20.0696,1.1095,1.0754,4.1145
Straight,OT+SH,160036,0,0.2200,20.0678,1.1273,1.0760,4.2823
Straight,OT+SH,160037,1,0.0867,20.0574,0.8450,1.1360,6.5661
Straight,OT+SH,160038,0,0.2067,20.0718,1.0771,1.1135,4.5760
Straight,OT+SH,160039,0,0.2200,20.0718,1.1237,1.1102,4.4576
Straight,OT+SH,160040,0,0.2200,20.0711,0.9798,1.3181,6.4519
Straight,OT+SH,160041,0,0.2067,19.9364,1.5880,1.1797,5.0680
Straight,OT+SH,160042,0,0.0867,20.0712,1.0888,1.0373,3.7396
Straight,OT+SH,160043,0,0.0800,20.0716,1.0618,0.9908,3.6692
Straight,OT+SH,160044,0,0.1800,20.0706,1.1598,1.2597,6.1342
Straight,OT+SH,160045,0,0.2733,20.0691,1.0228,1.0906,4.2601
Straight,OT+SH,160046,0,0.2200,20.0717,1.1556,1.1123,5.5320
Straight,OT+SH,160047,0,0.1933,20.0712,1.0661,1.0055,3.6638
Straight,OT+SH,160048,0,0.2200,20.0716,1.0520,1.1056,4.7992
Straight,OT+SH,160049,0,0.1933,20.0718,1.0747,1.1902,6.3148
Straight,OT+SH,160050,0,0.1200,20.0719,1.1021,1.1504,6.3017
Straight,OT+SH,160051,1,0.1800,19.9997,0.2325,1.5613,6.7587
Straight,OT+SH,160052,0,0.3200,20.0708,1.0916,1.0696,3.9998
Straight,OT+SH,160053,0,0.1667,20.0717,1.1232,1.1285,4.8746
Straight,OT+SH,160054,0,0.1667,20.0693,1.1118,1.0610,5.0070
