num_scenarios,dimension,horizon,epsilon_effective,epsilon_required,beta
275,120,20,0.906219,0.050000,0.010000
280,120,20,0.890037,0.050000,0.010000
285,120,20,0.874422,0.050000,0.010000
290,120,20,0.859346,0.050000,0.010000
295,120,20,0.844781,0.050000,0.010000
300,120,20,0.830701,0.050000,0.010000
305,120,20,0.817083,0.050000,0.010000
310,120,20,0.803904,0.050000,0.010000
315,120,20,0.791144,0.050000,0.010000
320,120,20,0.778782,0.050000,0.010000
325,120,20,0.766801,0.050000,0.010000
330,120,20,0.755183,0.050000,0.010000
335,120,20,0.743911,0.050000,0.010000
340,120,20,0.732972,0.050000,0.010000
345,120,20,0.722349,0.050000,0.010000
350,120,20,0.712030,0.050000,0.010000
355,120,20,0.702001,0.050000,0.010000
360,120,20,0.692251,0.050000,0.010000
365,120,20,0.682768,0.050000,0.010000
370,120,20,0.673541,0.050000,0.010000
375,120,20,0.664561,0.050000,0.010000
380,120,20,0.655817,0.050000,0.010000
385,120,20,0.647300,0.050000,0.010000
390,120,20,0.639001,0.050000,0.010000
395,120,20,0.630912,0.050000,0.010000
400,120,20,0.623026,0.050000,0.010000
405,120,20,0.615334,0.050000,0.010000
410,120,20,0.607830,0.050000,0.010000
415,120,20,0.600507,0.050000,0.010000
420,120,20,0.593358,0.050000,0.010000
425,120,20,0.586377,0.050000,0.010000
430,120,20,0.579559,0.050000,0.010000
435,120,20,0.572897,0.050000,0.010000
440,120,20,0.566387,0.050000,0.010000
445,120,20,0.560023,0.050000,0.010000
450,120,20,0.553801,0.050000,0.010000
455,120,20,0.547715,0.050000,0.010000
460,120,20,0.541762,0.050000,0.010000
465,120,20,0.535936,0.050000,0.010000
470,120,20,0.530235,0.050000,0.010000
475,120,20,0.524653,0.050000,0.010000
480,120,20,0.519188,0.050000,0.010000
485,120,20,0.513836,0.050000,0.010000
490,120,20,0.508593,0.050000,0.010000
495,120,20,0.503455,0.050000,0.010000
500,120,20,0.498421,0.050000,0.010000
10,60,10,12.921034,0.050000,0.010000
15,60,10,8.614023,0.050000,0.010000
20,60,10,6.460517,0.050000,0.010000
