stage,scenario_id,obs_id,timestep,x,y,probability
original,16,0,6,3.7584,0.9101,0.1389
original,16,0,8,3.6742,0.8508,0.1389
original,16,0,10,3.6058,0.7963,0.1389
original,16,1,0,6.0000,-1.5000,0.1389
original,16,1,2,5.9495,-1.4644,0.1389
original,16,1,4,5.9010,-1.4393,0.1389
original,16,1,6,5.8652,-1.4159,0.1389
original,16,1,8,5.8173,-1.3878,0.1389
original,16,1,10,5.7537,-1.3648,0.1389
original,17,0,0,4.0000,1.0000,0.6944
original,17,0,2,3.9065,1.0048,0.6944
original,17,0,4,3.8031,1.0031,0.6944
original,17,0,6,3.7058,0.9997,0.6944
original,17,0,8,3.6247,1.0090,0.6944
original,17,0,10,3.5481,1.0181,0.6944
original,17,1,0,6.0000,-1.5000,0.6944
original,17,1,2,5.9446,-1.4647,0.6944
original,17,1,4,5.8856,-1.4316,0.6944
original,17,1,6,5.8351,-1.4212,0.6944
original,17,1,8,5.7838,-1.4114,0.6944
original,17,1,10,5.7291,-1.3804,0.6944
original,18,0,0,4.0000,1.0000,0.6944
original,18,0,2,3.8941,0.9935,0.6944
original,18,0,4,3.7806,0.9685,0.6944
original,18,0,6,3.6710,0.9291,0.6944
original,18,0,8,3.5890,0.8787,0.6944
original,18,0,10,3.5093,0.8470,0.6944
original,18,1,0,6.0000,-1.5000,0.6944
original,18,1,2,5.9415,-1.4647,0.6944
original,18,1,4,5.8926,-1.4214,0.6944
original,18,1,6,5.8255,-1.3740,0.6944
original,18,1,8,5.7426,-1.3231,0.6944
original,18,1,10,5.6479,-1.2714,0.6944
original,19,0,0,4.0000,1.0000,0.1389
original,19,0,2,3.8933,0.9978,0.1389
original,19,0,4,3.7850,0.9981,0.1389
original,19,0,6,3.6836,1.0099,0.1389
original,19,0,8,3.6023,1.0404,0.1389
original,19,0,10,3.5213,1.0660,0.1389
original,19,1,0,6.0000,-1.5000,0.1389
original,19,1,2,5.9334,-1.4578,0.1389
original,19,1,4,5.8680,-1.4170,0.1389
original,19,1,6,5.8170,-1.3731,0.1389
original,19,1,8,5.7557,-1.2947,0.1389
original,19,1,10,5.6806,-1.2106,0.1389
original,20,0,0,4.0000,1.0000,0.6944
original,20,0,2,3.9026,1.0081,0.6944
original,20,0,4,3.7874,1.0312,0.6944
original,20,0,6,3.6784,1.0539,0.6944
original,20,0,8,3.5567,1.0758,0.6944
original,20,0,10,3.4225,1.0812,0.6944
original,20,1,0,6.0000,-1.5000,0.6944
original,20,1,2,5.9442,-1.4512,0.6944
original,20,1,4,5.8848,-1.4094,0.6944
original,20,1,6,5.8311,-1.3834,0.6944
original,20,1,8,5.7732,-1.3619,0.6944
original,20,1,10,5.7123,-1.3409,0.6944
original,21,0,0,4.0000,1.0000,0.6944
original,21,0,2,3.9050,1.0141,0.6944
original,21,0,4,3.8135,1.0239,0.6944
original,21,0,6,3.7317,1.0487,0.6944
original,21,0,8,3.6397,1.0783,0.6944
original,21,0,10,3.5409,1.1067,0.6944
original,21,1,0,6.0000,-1.5000,0.6944
original,21,1,2,5.9410,-1.4674,0.6944
original,21,1,4,5.9037,-1.4326,0.6944
original,21,1,6,5.8772,-1.3821,0.6944
original,21,1,8,5.8399,-1.3289,0.6944
original,21,1,10,5.7859,-1.2806,0.6944
original,22,0,0,4.0000,1.0000,0.6944
original,22,0,2,3.8999,1.0056,0.6944
original,22,0,4,3.8036,1.0094,0.6944
original,22,0,6,3.6956,1.0087,0.6944
original,22,0,8,3.5893,1.0071,0.6944
original,22,0,10,3.4843,1.0054,0.6944
original,22,1,0,6.0000,-1.5000,0.6944
original,22,1,2,5.9415,-1.4626,0.6944
original,22,1,4,5.8778,-1.3979,0.6944
original,22,1,6,5.8107,-1.3177,0.6944
original,22,1,8,5.7309,-1.2286,0.6944
original,22,1,10,5.6613,-1.1431,0.6944
original,23,0,0,4.0000,1.0000,0.6944
original,23,0,2,3.8918,0.9959,0.6944
original,23,0,4,3.7752,0.9813,0.6944
original,23,0,6,3.6558,0.9808,0.6944
original,23,0,8,3.5193,0.9994,0.6944
original,23,0,10,3.3740,1.0121,0.6944
original,23,1,0,6.0000,-1.5000,0.6944
original,23,1,2,5.9512,-1.4552,0.6944
original,23,1,4,5.8994,-1.4218,0.6944
original,23,1,6,5.8277,-1.3710,0.6944
original,23,1,8,5.7688,-1.3196,0.6944
original,23,1,10,5.7143,-1.2574,0.6944
original,24,0,0,4.0000,1.0000,0.6944
original,24,0,2,3.8939,1.0001,0.6944
original,24,0,4,3.7874,0.9950,0.6944
original,24,0,6,3.6834,0.9819,0.6944
original,24,0,8,3.5841,0.9704,0.6944
original,24,0,10,3.4987,0.9758,0.6944
original,24,1,0,6.0000,-1.5000,0.6944
original,24,1,2,5.9468,-1.4523,0.6944
original,24,1,4,5.8987,-1.3723,0.6944
original,24,1,6,5.8523,-1.2897,0.6944
original,24,1,8,5.8021,-1.2020,0.6944
original,24,1,10,5.7377,-1.0903,0.6944
original,25,0,0,4.0000,1.0000,0.1389
original,25,0,2,3.8926,0.9978,0.1389
original,25,0,4,3.7694,1.0187,0.1389
original,25,0,6,3.6407,1.0224,0.1389
original,25,0,8,3.5270,1.0117,0.1389
original,25,0,10,3.4294,1.0191,0.1389
original,25,1,0,6.0000,-1.5000,0.1389
original,25,1,2,5.9415,-1.4615,0.1389
original,25,1,4,5.8926,-1.4100,0.1389
original,25,1,6,5.8441,-1.3731,0.1389
original,25,1,8,5.8116,-1.3522,0.1389
original,25,1,10,5.7517,-1.3259,0.1389
original,26,0,0,4.0000,1.0000,0.6944
original,26,0,2,3.9166,0.9899,0.6944
original,26,0,4,3.8506,0.9728,0.6944
original,26,0,6,3.7882,0.9520,0.6944
