step,method,mode,weight,wasserstein_distance
27,recency,lane_change_right,0.000000,0.0
27,recency,turn_left,0.000000,0.0
27,recency,turn_right,0.000000,0.0
27,wasserstein,constant_velocity,0.221183,0.0
27,wasserstein,decelerating,0.156966,0.0
27,wasserstein,lane_change_left,0.186946,0.0
27,wasserstein,lane_change_right,0.192955,0.0
27,wasserstein,turn_left,0.119428,0.0
27,wasserstein,turn_right,0.122522,0.0
28,frequency,constant_velocity,1.000000,0.0
28,frequency,decelerating,0.000000,0.0
28,frequency,lane_change_left,0.000000,0.0
28,frequency,lane_change_right,0.000000,0.0
28,frequency,turn_left,0.000000,0.0
28,frequency,turn_right,0.000000,0.0
28,recency,constant_velocity,1.000000,0.0
28,recency,decelerating,0.000000,0.0
28,recency,lane_change_left,0.000000,0.0
28,recency,lane_change_right,0.000000,0.0
28,recency,turn_left,0.000000,0.0
28,recency,turn_right,0.000000,0.0
28,wasserstein,constant_velocity,0.221750,0.0
28,wasserstein,decelerating,0.156851,0.0
28,wasserstein,lane_change_left,0.186810,0.0
28,wasserstein,lane_change_right,0.192815,0.0
28,wasserstein,turn_left,0.119341,0.0
28,wasserstein,turn_right,0.122433,0.0
29,frequency,constant_velocity,1.000000,0.0
29,frequency,decelerating,0.000000,0.0
29,frequency,lane_change_left,0.000000,0.0
29,frequency,lane_change_right,0.000000,0.0
29,frequency,turn_left,0.000000,0.0
29,frequency,turn_right,0.000000,0.0
29,recency,constant_velocity,1.000000,0.0
29,recency,decelerating,0.000000,0.0
29,recency,lane_change_left,0.000000,0.0
29,recency,lane_change_right,0.000000,0.0
29,recency,turn_left,0.000000,0.0
29,recency,turn_right,0.000000,0.0
29,wasserstein,constant_velocity,0.222289,0.0
29,wasserstein,decelerating,0.156743,0.0
29,wasserstein,lane_change_left,0.186681,0.0
29,wasserstein,lane_change_right,0.192681,0.0
29,wasserstein,turn_left,0.119258,0.0
29,wasserstein,turn_right,0.122348,0.0
